0
"(227, 3949, 9.53096464110846)"
"(228, 1431, 113.70912012514275)"
"(229, 401, 5.979937615981052)"
"(230, 1130, 12.980087208347191)"
"(231, 3790, 35.26410183572909)"
"(232, 3040, 28.66093164090867)"
"(233, 563, 6.532931953496525)"
"(234, 1105, 5.027662960227419)"
"(235, 2315, 5.883292727594515)"
"(236, 1618, 59.85978373873603)"
"(237, 2756, 5.631438201788504)"
"(238, 1103, 4.9883032739366335)"
"(239, 1833, 76.10452310456945)"
"(240, 2090, 21.160385160578553)"
"(241, 2926, 164.48351407326905)"
"(242, 593, 9.238492554905521)"
"(243, 864, 19.575617074922114)"
"(244, 1436, 107.11070205404407)"
"(245, 864, 85.04332289907319)"
"(246, 1437, 7.696835270666216)"
"(247, 1437, 41.847370747327496)"
"(248, 2399, 60.63750711550229)"
"(249, 1997, 18.373043136346976)"
"(250, 1443, 13.054358408213039)"
"(251, 2399, 28.7810249577852)"
"(252, 2268, 29.77863088365292)"
"(253, 4268, 46.69239629814358)"
"(254, 1436, 99.35122251230568)"
"(255, 2399, 66.36832751048138)"
"(256, 2846, 1.0551817912037524)"
"(257, 2985, 66.23134726177858)"
"(258, 211, 73.11937691881857)"
"(259, 4253, 67.39671374961854)"
"(260, 2422, 66.33677562395123)"
"(261, 1427, 9.984353186818447)"
"(262, 2268, 44.2982477628092)"
"(263, 3100, 76.1919955748711)"
"(264, 3100, 58.9877837482506)"
"(265, 3882, 64.00533074188857)"
"(266, 1754, 13.022519915738124)"
"(267, 541, 17.221748767041596)"
"(268, 3102, 4.908894934515573)"
"(269, 3854, 133.3072735827839)"
"(270, 949, 13.968122483231307)"
"(271, 1540, 121.57169335600918)"
"(272, 1210, 9.71549396826003)"
"(273, 2010, 59.77992931779489)"
"(274, 2942, 40.57244033636358)"
"(275, 1451, 103.88213550108766)"
"(276, 101, 56.38788953867445)"
"(277, 573, 7.081083268089776)"
"(278, 2059, 50.12475916756074)"
"(279, 1371, 2.9209265819744425)"
"(280, 881, 34.940724811853556)"
"(281, 177, 28.84623087486398)"
"(282, 2745, 46.98261179046122)"
"(283, 4020, 173.40789317693242)"
"(284, 1494, 32.00887720498986)"
"(285, 1793, 53.08319313883676)"
"(286, 1749, 18.93743386083125)"
"(287, 1749, 23.302032249144197)"
"(288, 1895, 1.4295735587740213)"
"(289, 2814, 11.723734898689168)"
"(290, 3764, 80.32502114776202)"
"(291, 3325, 5.510701225722658)"
"(292, 3310, 108.11676492728077)"
"(293, 940, 4.500521865363765)"
"(294, 2780, 8.25476703838435)"
"(295, 2447, 21.987246006094683)"
"(296, 1087, 7.162800423756461)"
"(297, 2885, 1.9534342116266163)"
"(298, 2885, 273.90557604745237)"
"(299, 2416, 5.965306641886958)"
"(300, 815, 26.100959255360806)"
"(301, 3670, 95.51007863585649)"
"(302, 3837, 10.393864189308959)"
"(303, 3521, 1.6977023457576996)"
"(304, 1556, 30.2027816062781)"
"(305, 978, 55.97560194617642)"
"(306, 978, 6.8659190250030555)"
"(307, 538, 22.695173464293593)"
"(308, 2265, 25.371700261403497)"
"(309, 2783, 10.574562160719061)"
"(310, 177, 5.628643477651573)"
"(311, 2921, 161.9296708199741)"
"(312, 1615, 47.12935414256726)"
"(313, 1820, 19.06854996460677)"
"(314, 1083, 67.73527400705476)"
"(315, 2248, 90.13455678387601)"
"(316, 1432, 35.10092830531828)"
"(317, 854, 13.256350768153903)"
"(318, 820, 35.34283981192329)"
"(319, 2214, 3.261464680200663)"
"(320, 680, 133.73989706831975)"
"(321, 2259, 98.1959288309738)"
"(322, 1285, 6.879234680306749)"
"(323, 916, 7.52667914366958)"
"(324, 2420, 27.71160538686548)"
"(325, 2480, 33.00738207202184)"
"(326, 4254, 184.53298949188076)"
"(327, 410, 56.47908430586352)"
"(328, 871, 15.010067730003547)"
"(329, 1434, 20.29315222533105)"
"(330, 3062, 77.789639377372)"
